road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
LEO-ROAD-1265,LEO-1265-9206033800985038009838,Jane Dr,,,Leoni Township,42.21418047003518,-84.33159332563743,0.163529,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1266,LEO-1266-33801033800985038009674,Hoyer Rd,,,Leoni Township,42.21418047003518,-84.33159332563743,0.180736,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1267,LEO-1267-33809843801702038021772,N Price Lake Dr,,,Leoni Township,42.21301864581925,-84.29622486528412,0.114898,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1268,LEO-1268-33809843801701938017020,N Price Lake Dr,,,Leoni Township,42.21579928523654,-84.29274732305183,0.336609,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1269,LEO-1269-9208013800991938009827,Wanda Dr,,,Leoni Township,42.21294234248019,-84.32489628975077,0.098132,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1270,LEO-1270-9184013800991938017034,Zygmunt Landing Dr,,,Leoni Township,42.21294234248019,-84.32489628975077,0.02178,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1271,LEO-1271-9207093800992138009829,Stella Dr,,,Leoni Township,42.21296457732412,-84.32738890400407,0.099343,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1272,LEO-1272-9207103800992038009833,Martha Dr,,,Leoni Township,42.2129407269211,-84.3261159877485,0.099778,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1273,LEO-1273-9184013800992138009920,Zygmunt Landing Dr,,,Leoni Township,42.21296457732412,-84.32738890400407,0.065307,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1274,LEO-1274-9184013800992038009919,Zygmunt Landing Dr,,,Leoni Township,42.2129407269211,-84.3261159877485,0.062619,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1275,LEO-1275-9207083800992338009838,Warsaw St,,,Leoni Township,42.21296523745137,-84.32839287181389,0.098661,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1276,LEO-1276-9184013800992238009921,Zygmunt Landing Dr,,,Leoni Township,42.21295045384124,-84.32791512136055,0.027007,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1277,LEO-1277-9184013800992338009922,Zygmunt Landing Dr,,,Leoni Township,42.21296523745137,-84.32839287181389,0.024524,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1278,LEO-1278-9184013800992438009923,Zygmunt Landing Dr,,,Leoni Township,42.21299057226813,-84.33158599347018,0.16378,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1279,LEO-1279-33801033800992438009850,Hoyer Rd,,,Leoni Township,42.21299057226813,-84.33158599347018,0.082095,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1280,LEO-1280-9208013801820038009919,Wanda Dr,,,Leoni Township,42.21231833135019,-84.32514217253853,0.045076,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1281,LEO-1281-33815893800998238009979,Dorrell Rd,,,Leoni Township,42.210855532809305,-84.25669308003478,0.125912,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1282,LEO-1282-33810803800998538009982,Dorrell Rd,,,Leoni Township,42.2108982316433,-84.26187990058848,0.266061,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1283,LEO-1283-33810803800998938009985,Dorrell Rd,,,Leoni Township,42.21094151471219,-84.26881740528452,0.355864,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1284,LEO-1284-9159023800998938009501,S Portage Rd,,,Leoni Township,42.21094151471219,-84.26881740528452,0.501014,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1285,LEO-1285-33810803800999738009989,Dorrell Rd,,,Leoni Township,42.210990459993056,-84.27761825173607,0.451424,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1286,LEO-1286-9208233801820538009996,Memory Ln,,,Leoni Township,42.211742203137646,-84.3270292455656,0.015951,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1287,LEO-1287-9208233800999538018205,Memory Ln,,,Leoni Township,42.211749087743875,-84.32789614497194,0.044465,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1288,LEO-1288-9208023800999538009922,Love Ln,,,Leoni Township,42.211749087743875,-84.32789614497194,0.082891,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1289,LEO-1289-33810803800999938009997,Dorrell Rd,,,Leoni Township,42.21100563690646,-84.2792685360519,0.08465,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1290,LEO-1290-9208133800999538018206,Memory Ln,,,Leoni Township,42.211749087743875,-84.32789614497194,0.039353,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1291,LEO-1291-9208133801820638009993,Memory Ln,,,Leoni Township,42.2117563157399,-84.32866336060454,0.013332,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1292,LEO-1292-9012033800999938017290,Napoleon Rd,,,Leoni Township,42.21100563690646,-84.2792685360519,0.610403,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1293,LEO-1293-33809853801729038017287,S Price Lake Dr,,,Leoni Township,42.21366751744692,-84.28995860525932,0.218027,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1294,LEO-1294-9208013801002638018200,Wanda Dr,,,Leoni Township,42.21154664616968,-84.32562147471127,0.058732,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1295,LEO-1295-33817413800998238010030,Sechler Dr,,,Leoni Township,42.210855532809305,-84.25669308003478,0.039548,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1296,LEO-1296-17734063801003038017016,Koko Ln,,,Leoni Township,42.210313466280176,-84.25653434755476,0.08305,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1297,LEO-1297-33801033801004538009924,Hoyer Rd,,,Leoni Township,42.21128844038627,-84.33154688948574,0.117454,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1298,LEO-1298-33811033802005938018822,Coronado Dr,,,Leoni Township,42.21046802645286,-84.2810175047516,0.016834,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1299,LEO-1299-9009043800965138010053,E South St,,,Leoni Township,42.21736620674758,-84.35079451862866,0.449107,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1300,LEO-1300-33806603801006638009997,Napoleon Rd,,,Leoni Township,42.2102922066053,-84.27846451465695,0.06679,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1301,LEO-1301-9012033801006638009999,Napoleon Rd,,,Leoni Township,42.2102922066053,-84.27846451465695,0.069693,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1302,LEO-1302-8991093801006438009758,N US 127,,,Leoni Township,42.211578416316705,-84.36381093177694,0.325465,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1303,LEO-1303-8991103801006338009761,S US 127,,,Leoni Township,42.211580195691226,-84.36408083002681,0.322015,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1304,LEO-1304-33811043802006038018823,Coronado Dr,,,Leoni Township,42.21024402164552,-84.28485399685476,0.017616,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1305,LEO-1305-33800453801701638010099,Nash Dr,,,Leoni Township,42.21023494854063,-84.25492683470151,0.061288,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1306,LEO-1306-17734053801009738010099,Bonnie Jean Ln,,,Leoni Township,42.20936004062932,-84.25650822124203,0.082911,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1307,LEO-1307-33817413801003038010097,Sechler Dr,,,Leoni Township,42.210313466280176,-84.25653434755476,0.065793,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1308,LEO-1308-9012033801888738010066,Napoleon Rd,,,Leoni Township,42.20892772651678,-84.27842595727314,0.09416,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1309,LEO-1309-33811053801888638018887,Coronado Dr,,,Leoni Township,42.208928496812355,-84.27920030128013,0.039718,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1310,LEO-1310-33811033801888638020059,Coronado Dr,,,Leoni Township,42.208928496812355,-84.27920030128013,0.183779,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1311,LEO-1311-33800453801009938010165,Nash Dr,,,Leoni Township,42.20935106550313,-84.2548917913145,0.068495,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1312,LEO-1312-17734103801016838010169,Grayling Ln,,,Leoni Township,42.208313691526854,-84.2524137117586,0.033165,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1313,LEO-1313-17734103801016738010168,Grayling Ln,,,Leoni Township,42.20833136957013,-84.25364273538744,0.063051,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1314,LEO-1314-17734103801016538010167,Grayling Ln,,,Leoni Township,42.20835872530902,-84.25491233021687,0.065148,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1315,LEO-1315-33811043801888638020060,Coronado Dr,,,Leoni Township,42.208928496812355,-84.27920030128013,0.355758,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1316,LEO-1316-33817413801009738010219,Sechler Dr,,,Leoni Township,42.20936004062932,-84.25650822124203,0.096932,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1317,LEO-1317-9012033802006138018887,Napoleon Rd,,,Leoni Township,42.20729309363746,-84.27838651312584,0.112799,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
